code_qp,lib_qp
QN03712M,Patte D'Oie - Malétrenne - Plaisance
QN03713N,Les Tourettes
QN03714N,La Galboisière
QN03715N,Le Morier
QN03801M,La Luire - Viscose
QN03802M,Champaret
QN03803M,Essarts - Surieux
QN03804I,Village Sud
QN03805M,Alpes Cachin Floralies
QN03806M,Mistral Lys Rouge Camine
QN03807M,Villeneuve - Village Olympique
QN03808M,Teisseire Abbaye Jouhaux Malherbe
QN03809M,Alma - Très Cloîtres - Chenoise
QN03810M,Iles De Mars Olympiades
QN03811M,Renaudie Champberton Henri Wallon
QN03812M,Brunetière
QN03813I,Champfleuri
QN03814M,Saint Hubert Les Remparts
QN03815M,Saint Bonnet
QN03816I,Les Roches
QN03817M,Vieux Péage - Les Ayencins - Bel Air
QN03818M,Route de Sablons
QN03819M,Barbières - Château
QN03820M,Plan des Aures
QN03821M,Estressin
QN03822M,Vallée de Gère
QN03823M,Les Genêts - Cancanne - Hauts de Gère
QN03824M,Malissol
QN03901M,Mesnils Pasteur
QN03902M,Marjorie - Les Mouillères
QN03903M,Les Avignonnets
QN03904M,Chabot - Le Miroir - Faubourg
QN04001M,Le Sablar
QN04002I,Cuyès
QN04003I,Le Gond
QN04004M,Le Peyrouat élargi
QN04005I,La Moustey
QN04101M,Blois Nord
QN04102M,Les Rottes
QN04103M,Les Favignolles
QN04104N,Quinière Nord Ouest
QN04201M,Beauregard
QN04202M,La Chapelle
QN04203M,La Romière
QN04204M,Montrambert Méline
QN04205M,Le Dorlay - Les Pins - La Bachasse
QN04206M,Montcel - Centre Ville
QN04207M,Grand Pont
QN04208M,Centre Ville
QN04209M,Centre Ville
QN04210M,St Julien - Crêt De L'Oeillet
QN04211M,Cotonne Montferré
QN04212M,Tardy Tarentaize Beaubrun Couriot
QN04213M,Montreynaud
QN04214M,Crêt De Roc - Soleil
QN04215M,Quartiers Sud-Est
QN04216M,Terrenoire
QN04217M,Bourgogne
QN04218M,Le Parc
QN04219I,Saint-Clair
QN04220N,Monthieu
QN04221N,Grand Clos
QN04222N,Layat Bas-Mas
QN04223N,Firminy Vert
QN04224N,Solaure
QN04301M,Val Vert
QN04302M,Guitard
QN04401M,Ville Ouest
QN04402I,Petit Caporal - île du Pé
QN04403I,Prézégat - Berthauderie - Robespierre
QN04404M,La Ville aux Roses
QN04405M,Bellevue
QN04406M,Les Dervallières
QN04407I,Le Breil
QN04408M,Bout des landes - Bout des pavés - Chêne des Anglais
QN04409I,La Boissière
QN04410I,Port Boyer
QN04411I,Le Clos Toreau
QN04412M,Le Ranzay
QN04413M,Malakoff
QN04414M,Bottière Pin Sec
QN04415I,La Halvêque
QN04416I,La Petite Sensive
QN04417I,Plaisance
QN04418M,Château
QN04419I,Le Sillon de Bretagne
QN04501M,Le Clos de la Grande Salle
QN04502I,Andrillons Ormes du Mail
QN04503M,Lignerolles-Hartière
QN04504M,Dauphine
QN04505M,La Source
QN04506M,Argonne
QN04507M,Blossières
QN04508M,Pont Bordeau
QN04509M,Les Chaises
QN04510I,Les 3 Fontaines
QN04511M,Vésines
QN04512M,Le Plateau
QN04513M,Le Bourg - Chautemps
QN04514M,La Chaussée
QN04515I,Le Hameau
QN04516I,Champs de la Ville
QN04517M,Montoires
QN04518M,Quartiers Nord
QN04519M,Saint Aignan
QN04601M,Terre Rouge
QN04701I,Rodrigues - Barleté
QN04702M,Agen nord-est
QN04703M,Pin
QN04704M,Bastide au bord du Lot
QN04705M,Bastide des deux rives
QN04706M,Baylac-Gravette
QN04707M,Coeur de ville
QN04801N,Fontanilles
QN04901M,Belle Beille
QN04902M,Roseraie
QN04903M,Savary-Giran
QN04904M,Grand Pigeon
QN04905M,Monplaisir
QN04906M,Hauts de Saint Aubin
QN04907M,Bédier Beauval Morellerie
QN04908M,Le Grand Bellevue
QN04909M,Bretagne Bostangis
QN04910M,Jean Monnet
QN04911M,Favreau Les Mauges
QN04912M,Colline Villeneuve
QN04913M,Chemin Vert - Hauts Quartiers
QN04914N,Gide - Colomb
